fir_id,district,police_station,ipc_section,crime_type,date_of_incident,location_description,latitude,longitude,modus_operandi,investigation_status,fir_text
FIR-2023-KA-0049,Chikkamagaluru,Chikkamagaluru Police Station,363,Kidnapping,2024-03-24,"29/44, Vig Path, Nashik-899482",12.729825,77.171377,Broke open padlock of shop at night,Chargesheeted,"An incident of Kidnapping under IPC Section 363 was reported at Chikkamagaluru Police Station, Chikkamagaluru. The incident took place at 29/44, Vig Path, Nashik-899482. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Chargesheeted."
FIR-2026-KA-0050,Bengaluru Urban,Bengaluru Police Station,364,Kidnapping in Order to Murder,2024-11-07,"50, Rama Zila, Saharanpur 811530",13.046457,77.711563,Threatened victim with knife in isolated area,Chargesheeted,"An incident of Kidnapping in Order to Murder under IPC Section 364 was reported at Bengaluru Police Station, Bengaluru Urban. The incident took place at 50, Rama Zila, Saharanpur 811530. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Chargesheeted."
FIR-2026-KA-0051,Hassan,Hassan Police Station,363,Kidnapping,2025-07-14,"H.No. 603, Warrior Road, Sultan Pur Majra 175244",14.249913,77.96944,Created fake profile on social media to defraud,Chargesheeted,"An incident of Kidnapping under IPC Section 363 was reported at Hassan Police Station, Hassan. The incident took place at H.No. 603, Warrior Road, Sultan Pur Majra 175244. Modus operandi of the suspect: Created fake profile on social media to defraud. Investigation status is currently Chargesheeted."
FIR-2023-KA-0052,Bengaluru Rural,Bengaluru Police Station,379,Theft,2024-11-01,"89, Bath Zila, Anantapur 017411",15.22016,74.400434,Entered through unlocked door,Closed,"An incident of Theft under IPC Section 379 was reported at Bengaluru Police Station, Bengaluru Rural. The incident took place at 89, Bath Zila, Anantapur 017411. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Closed."
FIR-2026-KA-0053,Ballari,Ballari Police Station,394,Voluntarily Causing Hurt in Committing Robbery,2024-09-12,"86/085, Bhargava Nagar, Kavali-356010",12.122024,77.254875,Broke open padlock of shop at night,Closed,"An incident of Voluntarily Causing Hurt in Committing Robbery under IPC Section 394 was reported at Ballari Police Station, Ballari. The incident took place at 86/085, Bhargava Nagar, Kavali-356010. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Closed."
FIR-2026-KA-0054,Ballari,Ballari Police Station,392,Robbery,2026-01-10,"58, Mangat Street, Farrukhabad 256446",17.348705,74.511705,Threatened victim with knife in isolated area,Closed,"An incident of Robbery under IPC Section 392 was reported at Ballari Police Station, Ballari. The incident took place at 58, Mangat Street, Farrukhabad 256446. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Closed."
FIR-2026-KA-0055,Chikkamagaluru,Chikkamagaluru Police Station,364,Kidnapping in Order to Murder,2025-11-15,"H.No. 131, Jayaraman Zila, Tiruppur-952193",16.931362,77.897293,Entered through unlocked door,Chargesheeted,"An incident of Kidnapping in Order to Murder under IPC Section 364 was reported at Chikkamagaluru Police Station, Chikkamagaluru. The incident took place at H.No. 131, Jayaraman Zila, Tiruppur-952193. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Chargesheeted."
FIR-2026-KA-0056,Hassan,Hassan Police Station,406,Criminal Breach of Trust,2025-03-19,"19/43, Prashad Path, Haldia-929985",12.393409,78.452422,Assaulted victim following heated argument over traffic,Closed,"An incident of Criminal Breach of Trust under IPC Section 406 was reported at Hassan Police Station, Hassan. The incident took place at 19/43, Prashad Path, Haldia-929985. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Closed."
FIR-2024-KA-0057,Vijayapura,Vijayapura Police Station,406,Criminal Breach of Trust,2024-03-22,"H.No. 038, Dey Street, Durg-426522",14.818396,77.119178,Created fake profile on social media to defraud,Closed,"An incident of Criminal Breach of Trust under IPC Section 406 was reported at Vijayapura Police Station, Vijayapura. The incident took place at H.No. 038, Dey Street, Durg-426522. Modus operandi of the suspect: Created fake profile on social media to defraud. Investigation status is currently Closed."
FIR-2023-KA-0058,Bengaluru Rural,Bengaluru Police Station,406,Criminal Breach of Trust,2024-03-26,"704, Varma Nagar, Raiganj-083782",14.668145,75.674157,Entered through unlocked door,Closed,"An incident of Criminal Breach of Trust under IPC Section 406 was reported at Bengaluru Police Station, Bengaluru Rural. The incident took place at 704, Varma Nagar, Raiganj-083782. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Closed."
FIR-2026-KA-0059,Ballari,Ballari Police Station,392,Robbery,2026-02-21,"87, Chatterjee, Sambhal-556825",15.156294,76.076775,Created fake profile on social media to defraud,Open,"An incident of Robbery under IPC Section 392 was reported at Ballari Police Station, Ballari. The incident took place at 87, Chatterjee, Sambhal-556825. Modus operandi of the suspect: Created fake profile on social media to defraud. Investigation status is currently Open."
FIR-2026-KA-0060,Davangere,Davangere Police Station,394,Voluntarily Causing Hurt in Committing Robbery,2026-01-08,"76, Walia Marg, Alappuzha-741683",14.511686,74.391861,Threatened victim with knife in isolated area,Closed,"An incident of Voluntarily Causing Hurt in Committing Robbery under IPC Section 394 was reported at Davangere Police Station, Davangere. The incident took place at 76, Walia Marg, Alappuzha-741683. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Closed."
FIR-2025-KA-0061,Hubballi-Dharwad,Hubballi-Dharwad Police Station,380,Theft in Dwelling House,2025-05-19,"01/59, Lal Zila, Srikakulam-590821",14.587465,77.370761,Snatched chain from victim walking on road,Open,"An incident of Theft in Dwelling House under IPC Section 380 was reported at Hubballi-Dharwad Police Station, Hubballi-Dharwad. The incident took place at 01/59, Lal Zila, Srikakulam-590821. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Open."
FIR-2026-KA-0062,Chikkamagaluru,Chikkamagaluru Police Station,392,Robbery,2023-10-26,"58/347, Krishna Road, Dhule 745769",16.747015,77.482539,Threatened victim with knife in isolated area,Open,"An incident of Robbery under IPC Section 392 was reported at Chikkamagaluru Police Station, Chikkamagaluru. The incident took place at 58/347, Krishna Road, Dhule 745769. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Open."
FIR-2024-KA-0063,Chikkamagaluru,Chikkamagaluru Police Station,420,Cheating/Fraud,2023-12-14,"84/07, Issac Street, Faridabad-644489",11.53249,75.952744,Entered through unlocked door,Closed,"An incident of Cheating/Fraud under IPC Section 420 was reported at Chikkamagaluru Police Station, Chikkamagaluru. The incident took place at 84/07, Issac Street, Faridabad-644489. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Closed."
