fir_id,accused_id,role
FIR-2025-KA-0023,ACC-2024-KA-0223,primary
FIR-2024-KA-0024,ACC-2024-KA-0120,associate
FIR-2024-KA-0024,ACC-2024-KA-1459,associate
FIR-2026-KA-0025,ACC-2024-KA-1682,associate
FIR-2025-KA-0026,ACC-2024-KA-1213,associate
FIR-2025-KA-0027,ACC-2024-KA-0993,primary
FIR-2024-KA-0028,ACC-2024-KA-1179,primary
FIR-2024-KA-0029,ACC-2024-KA-1753,associate
FIR-2023-KA-0030,ACC-2024-KA-0664,associate
FIR-2023-KA-0030,ACC-2024-KA-1531,associate
FIR-2023-KA-0031,ACC-2024-KA-1674,primary
FIR-2023-KA-0031,ACC-2024-KA-0318,associate
FIR-2024-KA-0032,ACC-2024-KA-0933,primary
FIR-2024-KA-0033,ACC-2024-KA-1215,primary
FIR-2024-KA-0034,ACC-2024-KA-0166,associate
FIR-2024-KA-0034,ACC-2024-KA-1889,associate
FIR-2026-KA-0035,ACC-2024-KA-1385,primary
FIR-2026-KA-0035,ACC-2024-KA-1269,primary
FIR-2026-KA-0036,ACC-2024-KA-0492,primary
FIR-2023-KA-0037,ACC-2024-KA-1976,associate
FIR-2023-KA-0037,ACC-2024-KA-0746,primary
FIR-2024-KA-0038,ACC-2024-KA-0380,associate
FIR-2026-KA-0039,ACC-2024-KA-0376,primary
FIR-2026-KA-0039,ACC-2024-KA-0437,primary
FIR-2023-KA-0040,ACC-2024-KA-0190,primary
FIR-2023-KA-0041,ACC-2024-KA-1180,associate
FIR-2025-KA-0042,ACC-2024-KA-0193,primary
FIR-2025-KA-0042,ACC-2024-KA-0303,associate
FIR-2023-KA-0043,ACC-2024-KA-1009,associate
FIR-2023-KA-0043,ACC-2024-KA-1957,primary
FIR-2023-KA-0044,ACC-2024-KA-1017,primary
FIR-2023-KA-0044,ACC-2024-KA-1113,primary
FIR-2023-KA-0045,ACC-2024-KA-0542,primary
FIR-2023-KA-0045,ACC-2024-KA-0217,associate
FIR-2024-KA-0046,ACC-2024-KA-1201,primary
FIR-2024-KA-0046,ACC-2024-KA-1879,primary
FIR-2026-KA-0047,ACC-2024-KA-0626,associate
FIR-2023-KA-0048,ACC-2024-KA-0083,associate
FIR-2025-KA-0049,ACC-2024-KA-0856,primary
FIR-2024-KA-0050,ACC-2024-KA-0076,associate
FIR-2024-KA-0050,ACC-2024-KA-0430,primary
FIR-2026-KA-0051,ACC-2024-KA-0663,associate
FIR-2025-KA-0052,ACC-2024-KA-0955,primary
FIR-2025-KA-0052,ACC-2024-KA-0209,associate
FIR-2023-KA-0053,ACC-2024-KA-0365,associate
FIR-2023-KA-0053,ACC-2024-KA-1086,primary
FIR-2025-KA-0054,ACC-2024-KA-0448,associate
FIR-2025-KA-0054,ACC-2024-KA-1638,primary
FIR-2023-KA-0055,ACC-2024-KA-1560,primary
FIR-2023-KA-0055,ACC-2024-KA-1873,primary
FIR-2023-KA-0056,ACC-2024-KA-0971,primary
FIR-2023-KA-0056,ACC-2024-KA-0616,associate
FIR-2024-KA-0057,ACC-2024-KA-1587,associate
FIR-2024-KA-0057,ACC-2024-KA-1564,associate
FIR-2026-KA-0058,ACC-2024-KA-0613,associate
FIR-2025-KA-0059,ACC-2024-KA-1218,associate
FIR-2025-KA-0059,ACC-2024-KA-0451,primary
FIR-2026-KA-0060,ACC-2024-KA-1404,associate
FIR-2024-KA-0061,ACC-2024-KA-1164,associate
FIR-2024-KA-0061,ACC-2024-KA-0681,primary
FIR-2023-KA-0062,ACC-2024-KA-0661,associate
FIR-2023-KA-0062,ACC-2024-KA-1436,associate
FIR-2025-KA-0063,ACC-2024-KA-1122,associate
FIR-2024-KA-0064,ACC-2024-KA-0097,associate
FIR-2024-KA-0064,ACC-2024-KA-0940,associate
FIR-2024-KA-0065,ACC-2024-KA-0500,associate
FIR-2024-KA-0065,ACC-2024-KA-1479,primary
FIR-2025-KA-0066,ACC-2024-KA-0928,primary
FIR-2025-KA-0066,ACC-2024-KA-1184,primary
FIR-2024-KA-0067,ACC-2024-KA-0793,primary
FIR-2026-KA-0068,ACC-2024-KA-1740,associate
FIR-2024-KA-0069,ACC-2024-KA-1247,primary
FIR-2024-KA-0069,ACC-2024-KA-1529,primary
FIR-2023-KA-0070,ACC-2024-KA-0424,associate
FIR-2023-KA-0070,ACC-2024-KA-1200,associate
FIR-2023-KA-0071,ACC-2024-KA-0351,associate
FIR-2026-KA-0072,ACC-2024-KA-0399,primary
FIR-2026-KA-0073,ACC-2024-KA-0682,associate
FIR-2023-KA-0074,ACC-2024-KA-1388,primary
FIR-2023-KA-0074,ACC-2024-KA-0349,associate
FIR-2026-KA-0075,ACC-2024-KA-1581,associate
FIR-2026-KA-0076,ACC-2024-KA-1488,primary
FIR-2026-KA-0076,ACC-2024-KA-1072,associate
FIR-2023-KA-0077,ACC-2024-KA-0953,primary
FIR-2023-KA-0078,ACC-2024-KA-1173,associate
FIR-2025-KA-0079,ACC-2024-KA-0387,primary
FIR-2025-KA-0080,ACC-2024-KA-1167,associate
FIR-2025-KA-0081,ACC-2024-KA-1969,associate
FIR-2025-KA-0081,ACC-2024-KA-1465,associate
FIR-2025-KA-0082,ACC-2024-KA-0264,associate
FIR-2025-KA-0082,ACC-2024-KA-1007,associate
FIR-2024-KA-0083,ACC-2024-KA-0932,associate
FIR-2024-KA-0083,ACC-2024-KA-0049,associate
FIR-2026-KA-0084,ACC-2024-KA-1495,associate
FIR-2023-KA-0085,ACC-2024-KA-0341,associate
FIR-2024-KA-0086,ACC-2024-KA-0732,primary
FIR-2025-KA-0087,ACC-2024-KA-0926,associate
FIR-2025-KA-0087,ACC-2024-KA-0457,primary
FIR-2026-KA-0088,ACC-2024-KA-0398,primary
FIR-2026-KA-0088,ACC-2024-KA-0825,associate
FIR-2023-KA-0089,ACC-2024-KA-1325,associate
FIR-2023-KA-0089,ACC-2024-KA-1578,associate
FIR-2026-KA-0090,ACC-2024-KA-1926,primary
FIR-2026-KA-0090,ACC-2024-KA-1363,associate
FIR-2024-KA-0091,ACC-2024-KA-0812,associate
FIR-2024-KA-0091,ACC-2024-KA-1286,associate
FIR-2026-KA-0092,ACC-2024-KA-1907,primary
FIR-2024-KA-0093,ACC-2024-KA-1825,associate
FIR-2026-KA-0094,ACC-2024-KA-1343,primary
FIR-2026-KA-0094,ACC-2024-KA-0843,associate
FIR-2025-KA-0095,ACC-2024-KA-1300,primary
FIR-2025-KA-0095,ACC-2024-KA-0373,associate
FIR-2025-KA-0096,ACC-2024-KA-1024,associate
FIR-2026-KA-0097,ACC-2024-KA-0947,primary
FIR-2026-KA-0097,ACC-2024-KA-0080,primary
FIR-2024-KA-0098,ACC-2024-KA-0827,associate
FIR-2024-KA-0099,ACC-2024-KA-1947,primary
FIR-2024-KA-0099,ACC-2024-KA-0587,primary
FIR-2024-KA-0100,ACC-2024-KA-0805,associate
FIR-2023-KA-0101,ACC-2024-KA-1448,primary
FIR-2023-KA-0101,ACC-2024-KA-1110,associate
FIR-2023-KA-0102,ACC-2024-KA-1583,primary
FIR-2024-KA-0103,ACC-2024-KA-0096,associate
FIR-2024-KA-0103,ACC-2024-KA-0804,primary
FIR-2023-KA-0104,ACC-2024-KA-0253,associate
FIR-2023-KA-0105,ACC-2024-KA-0989,associate
FIR-2024-KA-0106,ACC-2024-KA-1088,primary
FIR-2024-KA-0106,ACC-2024-KA-1905,associate
FIR-2026-KA-0107,ACC-2024-KA-0376,primary
FIR-2026-KA-0107,ACC-2024-KA-1093,primary
FIR-2025-KA-0108,ACC-2024-KA-1325,primary
FIR-2025-KA-0108,ACC-2024-KA-1220,associate
FIR-2026-KA-0109,ACC-2024-KA-1808,associate
FIR-2026-KA-0109,ACC-2024-KA-0450,associate
FIR-2024-KA-0110,ACC-2024-KA-0283,associate
FIR-2024-KA-0110,ACC-2024-KA-0109,associate
FIR-2026-KA-0111,ACC-2024-KA-1445,primary
FIR-2026-KA-0111,ACC-2024-KA-0542,primary
FIR-2023-KA-0112,ACC-2024-KA-1533,primary
FIR-2023-KA-0112,ACC-2024-KA-0027,associate
FIR-2026-KA-0113,ACC-2024-KA-1261,primary
FIR-2026-KA-0114,ACC-2024-KA-0014,associate
FIR-2026-KA-0114,ACC-2024-KA-1871,primary
FIR-2023-KA-0115,ACC-2024-KA-1148,primary
FIR-2024-KA-0116,ACC-2024-KA-0987,primary
FIR-2023-KA-0117,ACC-2024-KA-0094,primary
FIR-2025-KA-0118,ACC-2024-KA-0548,associate
FIR-2025-KA-0118,ACC-2024-KA-0810,primary
FIR-2026-KA-0119,ACC-2024-KA-0801,primary
FIR-2026-KA-0120,ACC-2024-KA-0388,primary
FIR-2026-KA-0120,ACC-2024-KA-0833,primary
FIR-2023-KA-0121,ACC-2024-KA-0674,associate
FIR-2024-KA-0122,ACC-2024-KA-1588,primary
FIR-2025-KA-0123,ACC-2024-KA-0070,associate
FIR-2023-KA-0124,ACC-2024-KA-1239,associate
FIR-2024-KA-0125,ACC-2024-KA-1029,primary
FIR-2025-KA-0126,ACC-2024-KA-1195,associate
FIR-2025-KA-0126,ACC-2024-KA-0137,primary
FIR-2026-KA-0127,ACC-2024-KA-0637,associate
FIR-2026-KA-0127,ACC-2024-KA-1212,primary
FIR-2024-KA-0128,ACC-2024-KA-0226,associate
FIR-2025-KA-0129,ACC-2024-KA-1194,associate
FIR-2025-KA-0130,ACC-2024-KA-0583,associate
FIR-2026-KA-0131,ACC-2024-KA-1814,associate
FIR-2023-KA-0132,ACC-2024-KA-0321,associate
FIR-2025-KA-0133,ACC-2024-KA-0537,associate
FIR-2026-KA-0134,ACC-2024-KA-1846,primary
FIR-2025-KA-0135,ACC-2024-KA-0899,primary
FIR-2025-KA-0135,ACC-2024-KA-1636,primary
FIR-2026-KA-0136,ACC-2024-KA-0642,primary
FIR-2026-KA-0137,ACC-2024-KA-1150,primary
FIR-2026-KA-0137,ACC-2024-KA-1646,associate
FIR-2025-KA-0138,ACC-2024-KA-1146,associate
FIR-2025-KA-0138,ACC-2024-KA-1313,associate
FIR-2026-KA-0139,ACC-2024-KA-0415,primary
FIR-2024-KA-0140,ACC-2024-KA-0452,primary
FIR-2025-KA-0141,ACC-2024-KA-0473,primary
FIR-2025-KA-0141,ACC-2024-KA-1298,associate
FIR-2024-KA-0142,ACC-2024-KA-1021,primary
FIR-2024-KA-0142,ACC-2024-KA-1357,associate
FIR-2024-KA-0143,ACC-2024-KA-0525,associate
FIR-2024-KA-0143,ACC-2024-KA-1157,primary
FIR-2026-KA-0144,ACC-2024-KA-1652,associate
FIR-2023-KA-0145,ACC-2024-KA-0434,associate
FIR-2023-KA-0145,ACC-2024-KA-1282,primary
FIR-2025-KA-0146,ACC-2024-KA-0015,primary
FIR-2025-KA-0146,ACC-2024-KA-0389,associate
FIR-2024-KA-0147,ACC-2024-KA-1908,associate
FIR-2024-KA-0148,ACC-2024-KA-1471,associate
FIR-2025-KA-0149,ACC-2024-KA-0329,associate
FIR-2023-KA-0150,ACC-2024-KA-1989,primary
FIR-2025-KA-0151,ACC-2024-KA-1289,associate
FIR-2025-KA-0152,ACC-2024-KA-0334,primary
FIR-2025-KA-0152,ACC-2024-KA-1321,associate
FIR-2024-KA-0153,ACC-2024-KA-0482,primary
FIR-2026-KA-0154,ACC-2024-KA-0584,primary
FIR-2024-KA-0155,ACC-2024-KA-0876,associate
FIR-2024-KA-0155,ACC-2024-KA-1736,primary
FIR-2025-KA-0156,ACC-2024-KA-1726,primary
FIR-2024-KA-0157,ACC-2024-KA-1058,primary
FIR-2024-KA-0157,ACC-2024-KA-1552,primary
FIR-2025-KA-0158,ACC-2024-KA-1209,associate
FIR-2025-KA-0158,ACC-2024-KA-0291,associate
FIR-2023-KA-0159,ACC-2024-KA-0281,primary
FIR-2026-KA-0160,ACC-2024-KA-0625,primary
FIR-2026-KA-0160,ACC-2024-KA-1029,associate
FIR-2023-KA-0161,ACC-2024-KA-1338,associate
FIR-2023-KA-0162,ACC-2024-KA-0631,primary
FIR-2023-KA-0162,ACC-2024-KA-0542,associate
FIR-2024-KA-0163,ACC-2024-KA-1948,associate
FIR-2025-KA-0164,ACC-2024-KA-0287,associate
FIR-2024-KA-0165,ACC-2024-KA-0280,primary
FIR-2024-KA-0166,ACC-2024-KA-0914,primary
FIR-2024-KA-0166,ACC-2024-KA-0630,associate
FIR-2026-KA-0167,ACC-2024-KA-0202,associate
FIR-2026-KA-0167,ACC-2024-KA-0848,associate
FIR-2025-KA-0168,ACC-2024-KA-0431,associate
FIR-2025-KA-0168,ACC-2024-KA-0447,associate
FIR-2025-KA-0169,ACC-2024-KA-0986,primary
FIR-2025-KA-0169,ACC-2024-KA-1033,primary
FIR-2025-KA-0170,ACC-2024-KA-0186,primary
FIR-2024-KA-0171,ACC-2024-KA-1519,associate
FIR-2024-KA-0171,ACC-2024-KA-0216,primary
FIR-2025-KA-0172,ACC-2024-KA-1868,associate
FIR-2025-KA-0173,ACC-2024-KA-0255,associate
FIR-2023-KA-0174,ACC-2024-KA-0318,primary
FIR-2023-KA-0174,ACC-2024-KA-0655,associate
FIR-2026-KA-0175,ACC-2024-KA-0845,primary
FIR-2026-KA-0175,ACC-2024-KA-0138,associate
FIR-2026-KA-0176,ACC-2024-KA-0961,primary
FIR-2023-KA-0177,ACC-2024-KA-0008,primary
FIR-2024-KA-0178,ACC-2024-KA-0913,associate
FIR-2024-KA-0178,ACC-2024-KA-1159,primary
FIR-2026-KA-0179,ACC-2024-KA-1655,associate
FIR-2026-KA-0179,ACC-2024-KA-1231,associate
FIR-2026-KA-0180,ACC-2024-KA-1005,associate
FIR-2023-KA-0181,ACC-2024-KA-0233,associate
FIR-2024-KA-0182,ACC-2024-KA-1588,primary
FIR-2026-KA-0183,ACC-2024-KA-0040,primary
FIR-2026-KA-0184,ACC-2024-KA-0836,associate
FIR-2023-KA-0185,ACC-2024-KA-0644,associate
FIR-2023-KA-0185,ACC-2024-KA-0207,associate
FIR-2026-KA-0186,ACC-2024-KA-0585,primary
FIR-2026-KA-0186,ACC-2024-KA-1952,associate
FIR-2025-KA-0187,ACC-2024-KA-0558,associate
FIR-2025-KA-0187,ACC-2024-KA-0523,associate
FIR-2025-KA-0188,ACC-2024-KA-1636,primary
FIR-2025-KA-0188,ACC-2024-KA-0670,associate
FIR-2023-KA-0189,ACC-2024-KA-0907,associate
FIR-2026-KA-0190,ACC-2024-KA-1345,associate
FIR-2026-KA-0190,ACC-2024-KA-1021,associate
FIR-2024-KA-0191,ACC-2024-KA-1140,associate
FIR-2024-KA-0191,ACC-2024-KA-0032,primary
FIR-2026-KA-0192,ACC-2024-KA-0515,primary
FIR-2026-KA-0192,ACC-2024-KA-1529,associate
FIR-2023-KA-0193,ACC-2024-KA-1908,associate
FIR-2026-KA-0194,ACC-2024-KA-0197,associate
FIR-2025-KA-0195,ACC-2024-KA-0218,associate
FIR-2024-KA-0196,ACC-2024-KA-0727,primary
FIR-2023-KA-0197,ACC-2024-KA-0161,primary
FIR-2025-KA-0198,ACC-2024-KA-0119,associate
FIR-2025-KA-0199,ACC-2024-KA-0792,primary
FIR-2026-KA-0200,ACC-2024-KA-0271,associate
FIR-2024-KA-0201,ACC-2024-KA-0887,primary
FIR-2026-KA-0202,ACC-2024-KA-0204,associate
FIR-2026-KA-0202,ACC-2024-KA-0953,primary
FIR-2023-KA-0203,ACC-2024-KA-0602,associate
FIR-2023-KA-0203,ACC-2024-KA-0038,associate
FIR-2024-KA-0204,ACC-2024-KA-0573,primary
FIR-2024-KA-0204,ACC-2024-KA-0005,associate
FIR-2026-KA-0205,ACC-2024-KA-0180,primary
FIR-2023-KA-0206,ACC-2024-KA-1268,primary
FIR-2023-KA-0206,ACC-2024-KA-0808,primary
FIR-2025-KA-0207,ACC-2024-KA-0786,associate
FIR-2025-KA-0208,ACC-2024-KA-1047,associate
FIR-2026-KA-0209,ACC-2024-KA-0312,associate
FIR-2026-KA-0209,ACC-2024-KA-1768,primary
FIR-2025-KA-0210,ACC-2024-KA-0127,primary
FIR-2025-KA-0211,ACC-2024-KA-0093,associate
FIR-2026-KA-0212,ACC-2024-KA-1321,associate
FIR-2026-KA-0212,ACC-2024-KA-1518,primary
FIR-2023-KA-0213,ACC-2024-KA-1364,associate
FIR-2023-KA-0214,ACC-2024-KA-1250,associate
FIR-2023-KA-0214,ACC-2024-KA-0075,associate
FIR-2024-KA-0215,ACC-2024-KA-1148,primary
FIR-2024-KA-0215,ACC-2024-KA-0899,primary
FIR-2024-KA-0216,ACC-2024-KA-0798,associate
FIR-2025-KA-0217,ACC-2024-KA-1575,associate
FIR-2024-KA-0218,ACC-2024-KA-1020,associate
FIR-2026-KA-0219,ACC-2024-KA-1193,associate
FIR-2026-KA-0219,ACC-2024-KA-1166,associate
FIR-2024-KA-0220,ACC-2024-KA-1555,primary
FIR-2024-KA-0221,ACC-2024-KA-0038,associate
FIR-2024-KA-0221,ACC-2024-KA-0961,associate
FIR-2024-KA-0222,ACC-2024-KA-0613,associate
FIR-2024-KA-0222,ACC-2024-KA-0590,primary
FIR-2023-KA-0223,ACC-2024-KA-0827,associate
FIR-2023-KA-0224,ACC-2024-KA-0455,primary
FIR-2024-KA-0225,ACC-2024-KA-1508,primary
FIR-2026-KA-0226,ACC-2024-KA-0758,primary
FIR-2026-KA-0226,ACC-2024-KA-1323,primary
FIR-2025-KA-0227,ACC-2024-KA-0715,primary
FIR-2025-KA-0228,ACC-2024-KA-1798,primary
FIR-2025-KA-0228,ACC-2024-KA-1168,associate
FIR-2023-KA-0229,ACC-2024-KA-0360,primary
FIR-2023-KA-0229,ACC-2024-KA-0623,primary
FIR-2024-KA-0230,ACC-2024-KA-0719,associate
FIR-2024-KA-0230,ACC-2024-KA-0102,associate
FIR-2024-KA-0231,ACC-2024-KA-0378,associate
FIR-2024-KA-0231,ACC-2024-KA-1878,primary
FIR-2023-KA-0232,ACC-2024-KA-0716,primary
FIR-2023-KA-0232,ACC-2024-KA-1707,associate
FIR-2026-KA-0233,ACC-2024-KA-1593,primary
FIR-2023-KA-0234,ACC-2024-KA-0851,primary
FIR-2026-KA-0235,ACC-2024-KA-1516,primary
FIR-2026-KA-0235,ACC-2024-KA-1321,associate
FIR-2023-KA-0236,ACC-2024-KA-0748,associate
FIR-2023-KA-0236,ACC-2024-KA-1875,primary
FIR-2023-KA-0237,ACC-2024-KA-0083,primary
FIR-2025-KA-0238,ACC-2024-KA-1009,associate
FIR-2025-KA-0238,ACC-2024-KA-1803,associate
FIR-2026-KA-0239,ACC-2024-KA-0907,primary
FIR-2026-KA-0239,ACC-2024-KA-0421,associate
FIR-2024-KA-0240,ACC-2024-KA-1796,primary
FIR-2023-KA-0241,ACC-2024-KA-0644,associate
FIR-2023-KA-0241,ACC-2024-KA-0631,primary
FIR-2024-KA-0242,ACC-2024-KA-1591,associate
FIR-2023-KA-0243,ACC-2024-KA-0078,primary
FIR-2024-KA-0244,ACC-2024-KA-0161,associate
FIR-2024-KA-0244,ACC-2024-KA-0863,primary
FIR-2025-KA-0245,ACC-2024-KA-1619,primary
FIR-2025-KA-0245,ACC-2024-KA-1111,primary
FIR-2025-KA-0246,ACC-2024-KA-0631,associate
FIR-2025-KA-0246,ACC-2024-KA-1175,primary
FIR-2023-KA-0247,ACC-2024-KA-1854,associate
FIR-2023-KA-0247,ACC-2024-KA-0112,associate
FIR-2025-KA-0248,ACC-2024-KA-1531,associate
FIR-2025-KA-0248,ACC-2024-KA-0924,associate
FIR-2026-KA-0249,ACC-2024-KA-1324,associate
FIR-2025-KA-0250,ACC-2024-KA-1211,associate
FIR-2024-KA-0251,ACC-2024-KA-0593,associate
FIR-2024-KA-0251,ACC-2024-KA-1218,associate
FIR-2024-KA-0252,ACC-2024-KA-0543,associate
FIR-2024-KA-0252,ACC-2024-KA-0403,primary
FIR-2024-KA-0253,ACC-2024-KA-1430,primary
FIR-2024-KA-0253,ACC-2024-KA-1420,primary
FIR-2024-KA-0254,ACC-2024-KA-1290,primary
FIR-2024-KA-0254,ACC-2024-KA-1799,primary
FIR-2023-KA-0255,ACC-2024-KA-0843,primary
FIR-2023-KA-0255,ACC-2024-KA-1238,primary
FIR-2025-KA-0256,ACC-2024-KA-1924,primary
FIR-2026-KA-0257,ACC-2024-KA-0379,associate
FIR-2026-KA-0257,ACC-2024-KA-1504,associate
FIR-2024-KA-0258,ACC-2024-KA-1277,primary
FIR-2025-KA-0259,ACC-2024-KA-0614,primary
FIR-2025-KA-0259,ACC-2024-KA-1284,associate
FIR-2023-KA-0260,ACC-2024-KA-1498,primary
FIR-2023-KA-0260,ACC-2024-KA-1257,primary
FIR-2025-KA-0261,ACC-2024-KA-0432,primary
FIR-2025-KA-0262,ACC-2024-KA-0465,associate
FIR-2024-KA-0263,ACC-2024-KA-1512,primary
FIR-2024-KA-0264,ACC-2024-KA-0051,associate
FIR-2024-KA-0264,ACC-2024-KA-0490,associate
FIR-2026-KA-0265,ACC-2024-KA-0010,primary
FIR-2026-KA-0265,ACC-2024-KA-0516,associate
FIR-2024-KA-0266,ACC-2024-KA-0496,associate
FIR-2026-KA-0267,ACC-2024-KA-1969,primary
FIR-2025-KA-0268,ACC-2024-KA-0974,primary
FIR-2024-KA-0269,ACC-2024-KA-0763,associate
FIR-2024-KA-0269,ACC-2024-KA-0562,primary
FIR-2024-KA-0270,ACC-2024-KA-1185,associate
FIR-2023-KA-0271,ACC-2024-KA-0217,primary
FIR-2023-KA-0272,ACC-2024-KA-0337,associate
FIR-2025-KA-0273,ACC-2024-KA-1535,associate
FIR-2025-KA-0274,ACC-2024-KA-0337,primary
FIR-2025-KA-0275,ACC-2024-KA-0744,associate
FIR-2025-KA-0275,ACC-2024-KA-0917,associate
FIR-2026-KA-0276,ACC-2024-KA-1475,primary
FIR-2025-KA-0277,ACC-2024-KA-1231,associate
FIR-2024-KA-0278,ACC-2024-KA-0608,associate
FIR-2025-KA-0279,ACC-2024-KA-1951,primary
FIR-2024-KA-0280,ACC-2024-KA-1352,associate
FIR-2023-KA-0281,ACC-2024-KA-1764,primary
FIR-2025-KA-0282,ACC-2024-KA-1243,associate
FIR-2026-KA-0283,ACC-2024-KA-0842,associate
FIR-2023-KA-0284,ACC-2024-KA-0196,associate
FIR-2026-KA-0285,ACC-2024-KA-0215,associate
FIR-2023-KA-0286,ACC-2024-KA-0998,associate
FIR-2023-KA-0286,ACC-2024-KA-0378,associate
FIR-2026-KA-0287,ACC-2024-KA-1029,primary
FIR-2023-KA-0288,ACC-2024-KA-1862,primary
FIR-2024-KA-0289,ACC-2024-KA-0075,associate
FIR-2025-KA-0290,ACC-2024-KA-1339,primary
FIR-2025-KA-0290,ACC-2024-KA-1412,associate
FIR-2025-KA-0291,ACC-2024-KA-1792,associate
FIR-2025-KA-0291,ACC-2024-KA-0820,primary
FIR-2024-KA-0292,ACC-2024-KA-1244,primary
FIR-2024-KA-0292,ACC-2024-KA-1159,associate
FIR-2025-KA-0293,ACC-2024-KA-1538,associate
FIR-2025-KA-0293,ACC-2024-KA-0354,primary
FIR-2024-KA-0294,ACC-2024-KA-1379,primary
FIR-2024-KA-0294,ACC-2024-KA-1988,primary
FIR-2023-KA-0295,ACC-2024-KA-0321,primary
FIR-2023-KA-0295,ACC-2024-KA-0163,primary
FIR-2026-KA-0296,ACC-2024-KA-0682,associate
FIR-2025-KA-0297,ACC-2024-KA-1585,primary
FIR-2026-KA-0298,ACC-2024-KA-0001,primary
FIR-2026-KA-0299,ACC-2024-KA-1656,associate
FIR-2026-KA-0300,ACC-2024-KA-1674,primary
FIR-2025-KA-0301,ACC-2024-KA-0410,associate
FIR-2023-KA-0302,ACC-2024-KA-0552,primary
FIR-2023-KA-0302,ACC-2024-KA-1325,primary
FIR-2025-KA-0303,ACC-2024-KA-1776,primary
FIR-2025-KA-0303,ACC-2024-KA-0637,associate
FIR-2023-KA-0304,ACC-2024-KA-0516,primary
FIR-2023-KA-0305,ACC-2024-KA-1743,primary
FIR-2023-KA-0305,ACC-2024-KA-0440,associate
FIR-2025-KA-0306,ACC-2024-KA-1542,associate
FIR-2025-KA-0307,ACC-2024-KA-1079,associate
FIR-2024-KA-0308,ACC-2024-KA-0105,primary
FIR-2024-KA-0309,ACC-2024-KA-1156,associate
FIR-2023-KA-0310,ACC-2024-KA-1146,primary
FIR-2023-KA-0310,ACC-2024-KA-0800,primary
FIR-2026-KA-0311,ACC-2024-KA-0278,associate
FIR-2025-KA-0312,ACC-2024-KA-0233,associate
FIR-2025-KA-0312,ACC-2024-KA-0110,primary
FIR-2026-KA-0313,ACC-2024-KA-1984,primary
FIR-2026-KA-0313,ACC-2024-KA-0794,associate
FIR-2026-KA-0314,ACC-2024-KA-0060,primary
FIR-2026-KA-0314,ACC-2024-KA-0022,primary
FIR-2025-KA-0315,ACC-2024-KA-0203,associate
FIR-2025-KA-0316,ACC-2024-KA-0813,primary
FIR-2025-KA-0316,ACC-2024-KA-1807,primary
FIR-2024-KA-0317,ACC-2024-KA-1013,primary
FIR-2025-KA-0318,ACC-2024-KA-0270,associate
FIR-2025-KA-0318,ACC-2024-KA-0756,primary
FIR-2025-KA-0319,ACC-2024-KA-0725,associate
FIR-2025-KA-0319,ACC-2024-KA-1330,associate
FIR-2024-KA-0320,ACC-2024-KA-1519,associate
FIR-2024-KA-0321,ACC-2024-KA-1295,associate
FIR-2025-KA-0322,ACC-2024-KA-0096,primary
FIR-2025-KA-0322,ACC-2024-KA-0461,primary
FIR-2023-KA-0323,ACC-2024-KA-1477,primary
